,created_at,screen_name,text,converted_time,compound,neg,pos,neu
73,Thu Nov 30 03:11:31 +0000 2017,CBS,RT @MargoSlade: Best way to relax after a hard day of work watching #BrunoMars on #BrunosTVSpecial my heart is the happiest,2017-11-30 03:11:31+00:00,0.8979,0.049,0.394,0.557
72,Thu Nov 30 03:23:03 +0000 2017,CBS,"When #BrunoMars tells you to pick up the phone, that’s exactly what you do. https://t.co/JZDS26h3lL",2017-11-30 03:23:03+00:00,0.0,0.0,0.0,1.0
71,Thu Nov 30 03:33:32 +0000 2017,CBS,We’re only halfway into the show. Get ready for more of your favorite #BrunoMars tunes! https://t.co/BJh0PeX864,2017-11-30 03:33:32+00:00,0.7232,0.0,0.302,0.698
70,Thu Nov 30 03:35:13 +0000 2017,CBS,RT @RDMichelleLNK: Loving a dose of #BrunoMars midweek. So amazing!,2017-11-30 03:35:13+00:00,0.8513,0.0,0.542,0.458
69,Thu Nov 30 03:37:13 +0000 2017,CBS,RT @BrunoMars: We love you MARY!!!! ❤️ #BrunosTvSpecial,2017-11-30 03:37:13+00:00,0.7482,0.0,0.434,0.566
68,Thu Nov 30 03:44:54 +0000 2017,CBS,"RT @AllieNY86: His voice is mesmerizing 
#BrunoMars",2017-11-30 03:44:54+00:00,0.0,0.0,0.0,1.0
67,Thu Nov 30 03:51:38 +0000 2017,CBS,RT @Sara_nurse: My 2yr old niece heard @BrunoMars and is now up singing and dancing #BrunosTVSpecial #BrunoMars,2017-11-30 03:51:38+00:00,0.0,0.0,0.0,1.0
66,Thu Nov 30 03:55:37 +0000 2017,CBS,Everybody put your hands up! #BrunoMars https://t.co/jU7NyttAqv,2017-11-30 03:55:37+00:00,0.0,0.0,0.0,1.0
65,Thu Nov 30 03:59:09 +0000 2017,CBS,RT @anitakearney65: I could watch this all night #Brunomars #BrunosTvSpecial so much fun to watch OMG,2017-11-30 03:59:09+00:00,0.5542,0.0,0.204,0.796
64,Thu Nov 30 04:00:27 +0000 2017,CBS,The stage is 🔥🔥 #BrunoMars https://t.co/nykrDH46Bs,2017-11-30 04:00:27+00:00,0.0,0.0,0.0,1.0
63,Thu Nov 30 04:09:55 +0000 2017,CBS,RT @CWatkinsTV: That. Was. Amazing! #BrunoMars,2017-11-30 04:09:55+00:00,0.6239,0.0,0.45,0.55
62,Thu Nov 30 07:52:09 +0000 2017,CBS,Missed Bruno Mars: 24K Magic Live at the Apollo Theater? Keep up! Watch the full show: https://t.co/itXpGB5gRm… https://t.co/nkRMIUd2Df,2017-11-30 07:52:09+00:00,-0.3595,0.128,0.0,0.872
61,Thu Nov 30 12:00:03 +0000 2017,CBS,"Watch #BrunoMars perform ""24K Magic"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/UgD4fC5cS6 https://t.co/iTGKJSbjwY",2017-11-30 12:00:03+00:00,0.0,0.0,0.0,1.0
60,Thu Nov 30 15:00:05 +0000 2017,CBS,"Watch #BrunoMars perform ""That's What I Like"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/hAFcB9HpE3 https://t.co/I7ZWHdDYCP",2017-11-30 15:00:05+00:00,0.3612,0.0,0.135,0.865
59,Thu Nov 30 17:30:05 +0000 2017,CBS,Comic @JayLeno reflects on the major impression Carol Burnett left on him. Celebrate The Carol Burnett 50th Anniver… https://t.co/PIakndHJt1,2017-11-30 17:30:05+00:00,0.6808,0.0,0.248,0.752
58,Thu Nov 30 17:40:02 +0000 2017,CBS,RT @RansomCBS: #Ransom star @luke_j_roberts on set in Budapest for Season 2! https://t.co/rgC5ylqSMp,2017-11-30 17:40:02+00:00,0.0,0.0,0.0,1.0
57,Thu Nov 30 20:54:39 +0000 2017,CBS,"The world's most beloved fairy tales are reimagined as a dark &amp; twisted psychological thriller in ""Tell Me A Story,… https://t.co/CytIswrRj1",2017-11-30 20:54:39+00:00,0.6115,0.0,0.227,0.773
56,Thu Nov 30 21:10:19 +0000 2017,CBS,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC,2017-11-30 21:10:19+00:00,0.0,0.0,0.0,1.0
55,Fri Dec 01 01:31:30 +0000 2017,CBS,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI,2017-12-01 01:31:30+00:00,0.296,0.0,0.128,0.872
54,Fri Dec 01 12:00:03 +0000 2017,CBS,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv",2017-12-01 12:00:03+00:00,0.1901,0.0,0.093,0.907
53,Fri Dec 01 14:00:04 +0000 2017,CBS,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX,2017-12-01 14:00:04+00:00,0.6893,0.0,0.251,0.749
