,created_at,screen_name,text,converted_time,compound,neg,pos,neu
71,Sun Dec 10 11:00:12 +0000 2017,nytimes,"What Trump’s decision to recognize Jerusalem as Israel’s capital means for the city, the conflict and the world https://t.co/TMzXarFvfL",2017-12-10 11:00:12+00:00,-0.3182,0.113,0.0,0.887
70,Sun Dec 10 11:30:07 +0000 2017,nytimes,"92 Somali citizens were flown out of the U.S. under orders of deportation, but their plane never made it to Somalia https://t.co/o0dc6Jm9A2",2017-12-10 11:30:07+00:00,0.0,0.0,0.0,1.0
69,Sun Dec 10 11:47:06 +0000 2017,nytimes,Protests in Lebanon Near U.S. Embassy After Trump’s Jerusalem Decision https://t.co/rhTl1as2l0,2017-12-10 11:47:06+00:00,-0.2263,0.16,0.0,0.84
68,Sun Dec 10 12:00:04 +0000 2017,nytimes,"“Please do not shoot me"": Newly released body camera footage shows a police officer shooting an unarmed man in Ariz… https://t.co/gN14S1iQu1",2017-12-10 12:00:04+00:00,0.2584,0.0,0.097,0.903
67,Sun Dec 10 12:30:13 +0000 2017,nytimes,"Jerusalem is not just its postcard vistas. The day-in, day-out friction can be draining. https://t.co/kQqIbm7cqC",2017-12-10 12:30:13+00:00,0.0,0.0,0.0,1.0
66,Sun Dec 10 13:00:16 +0000 2017,nytimes,"Trump sees the presidency as a prize he must fight to protect every waking moment, and Twitter is his Excalibur… https://t.co/6aEvx25mLU",2017-12-10 13:00:16+00:00,0.5106,0.102,0.231,0.667
65,Sun Dec 10 13:07:39 +0000 2017,nytimes,"The Stone: For Veterans, a Path to Healing ‘Moral Injury’ https://t.co/69S0AXL1cF",2017-12-10 13:07:39+00:00,0.0,0.0,0.0,1.0
64,Sun Dec 10 13:30:09 +0000 2017,nytimes,Some consumers are finding they can get a better deal on prescription drugs by leaving their insurance cards at home https://t.co/qK3Wrewxyp,2017-12-10 13:30:09+00:00,0.4404,0.0,0.132,0.868
63,Sun Dec 10 14:00:20 +0000 2017,nytimes,"Ojai is a picturesque town known for healthy, spiritual living. The California fires have disrupted that. https://t.co/bPYRgMz3es",2017-12-10 14:00:20+00:00,0.6486,0.0,0.275,0.725
62,Sun Dec 10 14:30:24 +0000 2017,nytimes,"In most places, a dollar is a dollar. But in the tax plan, the amount you make may be less important than how you m… https://t.co/Zx7pr7K69P",2017-12-10 14:30:24+00:00,0.1298,0.0,0.061,0.939
61,Sun Dec 10 15:00:16 +0000 2017,nytimes,"We interviewed members of 7 families who have spoken to parents, grandparents, sons or daughters about sexual assau… https://t.co/RGe2KNXXEI",2017-12-10 15:00:16+00:00,0.0,0.0,0.0,1.0
60,Sun Dec 10 15:15:10 +0000 2017,nytimes,Your cat tattoo can have your actual cat in it https://t.co/4pxWo0GJ4F,2017-12-10 15:15:10+00:00,0.0,0.0,0.0,1.0
59,Sun Dec 10 15:30:03 +0000 2017,nytimes,Max Clifford was serving an 8-year sentence for sexual offenses against victims as young as 15 https://t.co/XqLWWte10z,2017-12-10 15:30:03+00:00,-0.5423,0.239,0.065,0.697
58,Sun Dec 10 15:45:12 +0000 2017,nytimes,"Modern Love: What 9 years of therapy and ""open"" Scrabble taught her about love https://t.co/qAJC03ajuk (Correction:… https://t.co/SepmMvhYqT",2017-12-10 15:45:12+00:00,0.8555,0.0,0.375,0.625
57,Sun Dec 10 15:57:05 +0000 2017,nytimes,@AnonyMs_One Thanks for alerting us to the error. Sorry about that! https://t.co/sZeNajXoe4,2017-12-10 15:57:05+00:00,-0.1007,0.265,0.179,0.556
56,Sun Dec 10 16:00:05 +0000 2017,nytimes,The EPA under President Trump has slowed down efforts to punish polluters https://t.co/R1s7qP5oTR,2017-12-10 16:00:05+00:00,-0.7506,0.368,0.0,0.632
