,created_at,screen_name,text,converted_time,compound,neg,pos,neu
74,Sun Dec 10 20:52:51 +0000 2017,FoxNews,.@Wendys trolls fast food hack on Twitter https://t.co/Ti1zUMjJ3y,2017-12-10 20:52:51+00:00,0.0,0.0,0.0,1.0
73,Sun Dec 10 20:59:00 +0000 2017,FoxNews,Comedian @hannibalburess arrested for disorderly intoxication https://t.co/oAqQxCQMKU,2017-12-10 20:59:00+00:00,-0.128,0.29,0.243,0.467
72,Sun Dec 10 21:09:11 +0000 2017,FoxNews,Sarah Sanders: 'Laughable' for Obama to Try to Take Credit for Economy https://t.co/BxoqvvIAM8,2017-12-10 21:09:11+00:00,0.3818,0.0,0.178,0.822
71,Sun Dec 10 21:14:05 +0000 2017,FoxNews,#ALSen Poll Average: Moore leads Jones 49.1% to 45.3%. https://t.co/6Y2a2VAfBf,2017-12-10 21:14:05+00:00,0.0,0.0,0.0,1.0
70,Sun Dec 10 21:24:21 +0000 2017,FoxNews,Princes William and Harry pick sculptor for Princess Diana statue https://t.co/TQ7F6Mso9F,2017-12-10 21:24:21+00:00,0.0,0.0,0.0,1.0
69,Sun Dec 10 21:31:29 +0000 2017,FoxNews,"Haley: Trump's Jerusalem decision will 'fastball' peace, stop Israel 'bashing' https://t.co/xvsPJ0HS4D",2017-12-10 21:31:29+00:00,0.3182,0.15,0.238,0.612
68,Sun Dec 10 21:37:42 +0000 2017,FoxNews,Boxer Stephen Smith's ear almost ripped off in Vegas bout https://t.co/ZyyeRusMD8,2017-12-10 21:37:42+00:00,0.0,0.0,0.0,1.0
67,Sun Dec 10 21:44:06 +0000 2017,FoxNews,"On @ffweekend, @SheriffClarke slammed Rep. John Lewis for boycotting @POTUS's appearance at a Civil Rights museum i… https://t.co/ThZPN1yHx5",2017-12-10 21:44:06+00:00,-0.4019,0.144,0.0,0.856
66,Sun Dec 10 21:54:07 +0000 2017,FoxNews,".@WWE wrestler Rich Swann arrested, charged with battery of wrestler wife. https://t.co/9sNI5GCsUR",2017-12-10 21:54:07+00:00,-0.0772,0.28,0.206,0.514
65,Sun Dec 10 21:59:29 +0000 2017,FoxNews,The San Diego Fire-Rescue Department suited up Emily the arson investigation dog amid concern she was inhaling smok… https://t.co/StVyPJ6lQr,2017-12-10 21:59:29+00:00,0.0,0.0,0.0,1.0
