,created_at,screen_name,text,converted_time,compound,neg,pos,neu
72,Sun Dec 10 13:30:20 +0000 2017,CNN,The rise of a ‘fish mafia’ in this small Mexican town is killing off an entire population of small porpoises.… https://t.co/AmToMyq64y,2017-12-10 13:30:20+00:00,-0.6597,0.188,0.0,0.812
71,Sun Dec 10 14:01:06 +0000 2017,CNN,"An Iranian-Turkish gold trader admitted in a US court that he made ""maybe $150 million"" by helping Iran dodge inter… https://t.co/yg1Kck4Zxt",2017-12-10 14:01:06+00:00,0.3818,0.0,0.167,0.833
70,Sun Dec 10 14:06:18 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby: “I couldn’t vote for Roy Moore, I didn’t vote for Roy Moore, I wrote in a d… https://t.co/Q40njVbgsQ",2017-12-10 14:06:18+00:00,0.0,0.0,0.0,1.0
69,Sun Dec 10 14:08:02 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby on Roy Moore’s accusers: “I think the women are believable, I have no reason… https://t.co/cVbHjeOmTy",2017-12-10 14:08:02+00:00,-0.296,0.109,0.0,0.891
68,Sun Dec 10 14:12:33 +0000 2017,CNN,"“I want to reiterate again: I didn’t vote for Roy Moore, I wouldn’t vote for Roy Moore, I think the Republican Part… https://t.co/2R9DV9eqAo",2017-12-10 14:12:33+00:00,0.0772,0.0,0.064,0.936
67,Sun Dec 10 14:13:18 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby says there's ""something for just about everybody"" in the GOP tax bill… https://t.co/hy29AebKKk",2017-12-10 14:13:18+00:00,0.0,0.0,0.0,1.0
66,Sun Dec 10 14:22:03 +0000 2017,CNN,"US Ambassador to the United Nations Nikki Haley says moving the capital of Israel to Jerusalem will ""move the ball… https://t.co/DbDpLD6McJ",2017-12-10 14:22:03+00:00,0.4215,0.0,0.123,0.877
65,Sun Dec 10 14:28:16 +0000 2017,CNN,US Ambassador to the United Nations Nikki Haley: “I have no concern” that President Trump’s Jerusalem decision will… https://t.co/ZHep68YyhL,2017-12-10 14:28:16+00:00,0.1531,0.1,0.127,0.773
64,Sun Dec 10 14:28:37 +0000 2017,CNN,"US Ambassador to the United Nations Nikki Haley: ""Jerusalem is the capital of Israel...whatever is East Jerusalem o… https://t.co/hnnw3xaf3q",2017-12-10 14:28:37+00:00,0.4215,0.0,0.135,0.865
63,Sun Dec 10 14:30:19 +0000 2017,CNN,Instagram is testing a standalone messaging app called Direct https://t.co/0B9ky2jDio https://t.co/EIP9KH2gmO,2017-12-10 14:30:19+00:00,0.0,0.0,0.0,1.0
62,Sun Dec 10 14:38:22 +0000 2017,CNN,Rep. Adam Schiff on Russian outreach to Hope Hicks: “It’s not at all a surprise that they would make outreach to pe… https://t.co/MwQM9RE14r,2017-12-10 14:38:22+00:00,0.647,0.067,0.264,0.669
61,Sun Dec 10 14:50:49 +0000 2017,CNN,A group of precocious kids had some tough questions for Santa Claus on @nbcsnl last night https://t.co/M70oxgiqRJ https://t.co/zDbbuNDoUT,2017-12-10 14:50:49+00:00,-0.128,0.086,0.0,0.914
60,Sun Dec 10 15:02:54 +0000 2017,CNN,She lost her leg after being hit by a drunk driver. Now she empowers fellow amputees to overcome their physical lim… https://t.co/EVxCuS4uQY,2017-12-10 15:02:54+00:00,-0.5719,0.198,0.0,0.802
59,Sun Dec 10 15:16:21 +0000 2017,CNN,"""This is kind of the new normal,"" says California Gov. Jerry Brown, after a week of raging wildfires… https://t.co/Sk6Yh2IffQ",2017-12-10 15:16:21+00:00,-0.5267,0.167,0.0,0.833
58,Sun Dec 10 15:30:19 +0000 2017,CNN,"The Honest Company founder Jessica Alba tells @PoppyHarlowCNN that ""it’s tough when you’re the only woman in the ro… https://t.co/14mpfoLC3A",2017-12-10 15:30:19+00:00,0.4215,0.066,0.145,0.789
57,Sun Dec 10 15:43:09 +0000 2017,CNN,"""It is very important for the world...that the US engages,"" UN Chief Antonio Guterres tells @FareedZakaria during a… https://t.co/FDF9ehtiri",2017-12-10 15:43:09+00:00,0.2716,0.0,0.104,0.896
56,Sun Dec 10 15:45:09 +0000 2017,CNN,Pressure is mounting on Congress to act before year’s end on Deferred Action for Childhood Arrivals. What they deci… https://t.co/AwRUbU4BJb,2017-12-10 15:45:09+00:00,-0.296,0.104,0.0,0.896
55,Sun Dec 10 15:57:01 +0000 2017,CNN,"UN Chief António Guterres: ""It's essential to understand that refugees are not terrorists. They are the first victi… https://t.co/x5MU0FygNd",2017-12-10 15:57:01+00:00,0.5096,0.0,0.155,0.845
54,Sun Dec 10 16:00:24 +0000 2017,CNN,What a shot! The most amazing sports photos of 2017 https://t.co/bhSvDBYijR https://t.co/P8fBoXNPf2,2017-12-10 16:00:24+00:00,0.6581,0.0,0.305,0.695
53,Sun Dec 10 16:20:39 +0000 2017,CNN,"Alabama Sen. Richard Shelby says he ""couldn't vote for Roy Moore"" https://t.co/3T8Xq0vCXe https://t.co/mIZijkBue1",2017-12-10 16:20:39+00:00,0.0,0.0,0.0,1.0
52,Sun Dec 10 16:30:09 +0000 2017,CNN,"""King of Spin"" Max Clifford dies in UK jail https://t.co/mDlPZdNE9K https://t.co/XodLjZtMLQ",2017-12-10 16:30:09+00:00,0.0,0.0,0.0,1.0
51,Sun Dec 10 16:51:30 +0000 2017,CNN,"Here's your ski resort guide to St. Moritz, Switzerland https://t.co/9NcNA31QQ1 https://t.co/57kMyQRIOa",2017-12-10 16:51:30+00:00,0.0,0.0,0.0,1.0
50,Sun Dec 10 17:03:05 +0000 2017,CNN,Voting for CNN Hero of the Year CLOSES Tuesday 12/12 at 11:59pm PT -- VOTE NOW at https://t.co/ANMKKlbytz!… https://t.co/CuFQv7zB4U,2017-12-10 17:03:05+00:00,0.5983,0.0,0.178,0.822
49,Sun Dec 10 17:15:33 +0000 2017,CNN,The gold rush for black market fish bladders has pushed this tiny porpoise toward extinction #vaquita… https://t.co/TQfbYwqPZc,2017-12-10 17:15:33+00:00,0.0,0.0,0.0,1.0
48,Sun Dec 10 17:30:07 +0000 2017,CNN,UK foreign minister ends Iran trip with no announcement on jailed woman https://t.co/9wBvAfh8Qr https://t.co/2Wgp4dmdSE,2017-12-10 17:30:07+00:00,-0.6597,0.31,0.0,0.69
47,Sun Dec 10 17:45:10 +0000 2017,CNN,Ski racer Lindsey Vonn injures back and pulls out of a competition in St. Moritz https://t.co/5zVmooeTLI https://t.co/KjveQNCQFs,2017-12-10 17:45:10+00:00,0.0,0.0,0.0,1.0
46,Sun Dec 10 18:00:09 +0000 2017,CNN,Heavy snow brings travel chaos to UK https://t.co/vVRzn8LEVP https://t.co/Mm7FLshDpW,2017-12-10 18:00:09+00:00,-0.5719,0.316,0.0,0.684
45,Sun Dec 10 18:15:07 +0000 2017,CNN,Protesters and police clash outside US embassy in Beirut https://t.co/buz5mXWp3F https://t.co/X2JNZ8p3wP,2017-12-10 18:15:07+00:00,-0.2263,0.16,0.0,0.84
44,Sun Dec 10 18:30:10 +0000 2017,CNN,The hidden fear driving the market surge https://t.co/jZVgAGZ7it https://t.co/MADYFBCHZ3,2017-12-10 18:30:10+00:00,-0.4939,0.286,0.0,0.714
43,Sun Dec 10 18:45:08 +0000 2017,CNN,"""Time is of the essence,"" UN official says after visit to North Korea https://t.co/kPzalGuqWh https://t.co/KHWyssfkeX",2017-12-10 18:45:08+00:00,0.0,0.0,0.0,1.0
42,Sun Dec 10 19:01:09 +0000 2017,CNN,Alabama Senate candidate Roy Moore says he has never molested anyone https://t.co/4F7ipmrsLz https://t.co/quVFW9P8gs,2017-12-10 19:01:09+00:00,0.3412,0.0,0.167,0.833
41,Sun Dec 10 19:15:12 +0000 2017,CNN,"President Trump has to live with the consequences of his Israel decision, writes Nic Robertson for @CNNOpinion… https://t.co/QbOk7FJSwi",2017-12-10 19:15:12+00:00,0.0,0.0,0.0,1.0
40,Sun Dec 10 19:30:29 +0000 2017,CNN,Swedish police question suspects after synagogue attack https://t.co/3AlN0ZnOnc https://t.co/5Enu6RVoqw,2017-12-10 19:30:29+00:00,-0.6705,0.44,0.0,0.56
39,Sun Dec 10 19:41:08 +0000 2017,CNN,"CORRECTION: Jailed ""King of Spin"" Max Clifford dies in UK hospital https://t.co/mDlPZdNE9K https://t.co/qgHMGBdTP3",2017-12-10 19:41:08+00:00,-0.4939,0.211,0.0,0.789
38,Sun Dec 10 19:45:05 +0000 2017,CNN,Mix-and-match health coverage can be a risky alternative to Obamacare https://t.co/23NHVKbXQW https://t.co/76jyYlu0lj,2017-12-10 19:45:05+00:00,-0.2023,0.153,0.0,0.847
37,Sun Dec 10 20:01:56 +0000 2017,CNN,She lost her leg after being hit by a drunk driver. Now she empowers fellow amputees to overcome their physical lim… https://t.co/dINDZ5JW69,2017-12-10 20:01:56+00:00,-0.5719,0.198,0.0,0.802
36,Sun Dec 10 20:15:03 +0000 2017,CNN,Futures trading is a new step for Bitcoin's wild ride https://t.co/GMHpH5Fw8z https://t.co/TmNf8tzIf8,2017-12-10 20:15:03+00:00,0.0,0.0,0.0,1.0
35,Sun Dec 10 20:30:09 +0000 2017,CNN,Take a look at this week in politics https://t.co/8ktzXSEPN4 https://t.co/i8OYgFjIPJ,2017-12-10 20:30:09+00:00,0.0,0.0,0.0,1.0
